Resturant,Rating,Review,Cuisine,price
 Galloways Sandwich Shop,4.5,18,American,under $10
 The Grub House,4.5,19,American,under $10
 P Terrys Burger Stand,3.5,19,American,under $10
 Burger King,2,19,American,under $10
 Buckets Deli and Sports Bar,3.5,20,American,under $10
 Jack in the Box,1.5,21,American,under $10
 Jack in the Box,2,22,American,under $10
 Burger King,2.5,23,American,under $10
 Jack in the Box,2,24,American,under $10
 Dirty Glove Midwest BBQ,4.5,24,American,under $10
 William B Travis Building Cafeteria,3,24,American,under $10
 Dairy Queen,3.5,25,American,under $10
 Short Stop,3.5,25,American,under $10
 Phils Philly Grill,3,25,American,under $10
 Monster Bite World,4.5,26,American,under $10
 Jack in the Box,2,27,American,under $10
 Messhall Cafe,4,28,American,under $10
 Wendys,2.5,28,American,under $10
 Jack in the Box,2,28,American,under $10
 The Story of Texas Cafe,3.5,29,American,under $10
 Dairy Queen,3.5,31,American,under $10
 Wendys,2,31,American,under $10
 Sonic Drive In,1.5,31,American,under $10
 Tangent Cafe,4,32,American,under $10
 Burger King,1.5,32,American,under $10
 Arbys,3,32,American,under $10
 Simons Burger,4.5,33,American,under $10
 Wendys,2.5,33,American,under $10
 Wendys,2,33,American,under $10
 The  on th,2.5,34,American,under $10
 Burger King,1.5,34,American,under $10
 Jack in the Box,2.5,34,American,under $10
 Texas Bar and Grill,3.5,36,American,under $10
 Texas Bar and Grill,3.5,36,American,under $10
 Wendys,2.5,37,American,under $10
 Capitol Grill,3.5,38,American,under $10
 Stardust Club,3.5,38,American,under $10
 Burger King,2,38,American,under $10
 Wendys,1.5,39,American,under $10
 P Terrys Burger Stand,3.5,40,American,under $10
 Sonic Drive In,3,42,American,under $10
 Lone Star Kolaches,3.5,42,American,under $10
 Clicks Billiards,3,43,American,under $10
 Burnsides Tavern,3.5,43,American,under $10
 Sonic Drive In,2,43,American,under $10
 Wendys,2,44,American,under $10
 Wendys,2,44,American,under $10
 Newks Eatery,3.5,45,American,under $10
 Jack in the Box,2,49,American,under $10
 Wendys,2,49,American,under $10
 Wendys,2.5,50,American,under $10
 Mighty Fine Burgers,3.5,52,American,under $10
 Little Olas Biscuits,3.5,52,American,under $10
 Wendys,1.5,52,American,under $10
 Wendys,1.5,52,American,under $10
 Pour Choices,4,53,American,under $10
 Short Stop,3,53,American,under $10
 Taquerias Arandinas,3.5,54,American,under $10
 Burger King,2,55,American,under $10
 Downtown Burgers,4,57,American,under $10
 Wendys,2,57,American,under $10
 Wendys,2,58,American,under $10
 Longhorn Chicken,3.5,61,American,under $10
 Friends and Allies Brewing,4,62,American,under $10
 Yalla Burgers and Wings halal,3.5,62,American,under $10
 Friends and Allies Brewing,4,62,American,under $10
 Shipleys Donuts,3.5,62,American,under $10
 Sonic Drive In,2,62,American,under $10
 Word of Mouth Bakery,4.5,64,American,under $10
 The Cavalier ATX,4,67,American,under $10
 P Terrys Burger Stand,4,67,American,under $10
 P Terrys Burger Stand,4,67,American,under $10
 Rusty Cannon Pub,3.5,69,American,under $10
 Sonic Drive In,2,70,American,under $10
 Central Donut,4.5,70,American,under $10
 Sonic Drive In,2,70,American,under $10
 McDonalds,2,71,American,under $10
 McDonalds,2,71,American,under $10
 Hi Sign Brewing  Temp CLOSED,4.5,72,American,under $10
 Carousel Lounge,4,77,American,under $10
 Kolache Factory,3.5,77,American,under $10
 Sonic Drive In,2,78,American,under $10
 Little Woodrows Burnet,3,79,American,under $10
 Try Hard Coffee Roasters,5,80,American,under $10
 McDonalds,1.5,80,American,under $10
 Hill Berts Burgers,3.5,81,American,under $10
 Sonic Drive In,2,84,American,under $10
 The Canary Roost,3,86,American,under $10
 Dairy Queen,4,89,American,under $10
 Waffle House,2.5,90,American,under $10
 The Cloak Room,3.5,91,American,under $10
 IHOP,2.5,92,American,under $10
 Deep Eddy Cabaret,4.5,95,American,under $10
 P Terrys Burger Stand,3.5,98,American,under $10
 Opera Cafe and Coffeehouse,4,98,American,under $10
 The Iron Bear,4,100,American,under $10
 Whataburger,3,101,American,under $10
 IHOP,2,102,American,under $10
 IHOP,2,102,American,under $10
 Dennys,3.5,103,American,under $10
 Tacodeli,4,104,American,under $10
 P Terrys Burger Stand,3.5,105,American,under $10
 Nickel City,4,106,American,under $10
 Wholy Bagel,4,106,American,under $10
 Dennys,2.5,108,American,under $10
 Dairy Queen,4,108,American,under $10
 Whataburger,2,109,American,under $10
 Tacodeli,3,110,American,under $10
 P Terrys Burger Stand,3.5,112,American,under $10
 Independence Brewing,4,117,American,under $10
 Posse East,4,120,American,under $10
 Cain and Abels,3,120,American,under $10
 N Salad Bar and Grill,4.5,123,American,under $10
 Boston Market,2.5,123,American,under $10
 Drinks Lounge,4,124,American,under $10
 Austin Rotisserie,4.5,125,American,under $10
 Plow Burger,4.5,127,American,under $10
 P Terrys Burger Stand,3,127,American,under $10
 Live Oak Brewing Company,4.5,128,American,under $10
 Barton Springs Saloon,3.5,129,American,under $10
 P Terrys Burger Stand,4,129,American,under $10
 Dennys,3,131,American,under $10
 Dennys,3,131,American,under $10
 In N Out Burger,3.5,131,American,under $10
 Riata Bar and Grill,3.5,131,American,under $10
 Coffee Shark,4,132,American,under $10
 Chiefs BBQ,3.5,133,American,under $10
 Boulevard Grill and Sports Bar,3.5,134,American,under $10
 Bella Donna Subs,4,136,American,under $10
 Sandeez Hamburger Hut,3.5,137,American,under $10
 Culvers,3.5,137,American,under $10
 Taquerias Arandinas,4,139,American,under $10
 IHOP,2,143,American,under $10
 Whataburger,2.5,144,American,under $10
 Dans Hamburgers Austin,4,146,American,under $10
 BB Rovers Cafe and Pub,3.5,149,American,under $10
 Waffle House,2.5,151,American,under $10
 IHOP,2.5,152,American,under $10
 P Terrys Burger Stand,4,153,American,under $10
 Country Boyz Fixins,4.5,154,American,under $10
 P Terrys Burger Stand,3.5,156,American,under $10
 Jims Restaurants,3.5,163,American,under $10
 Moonies Burger House at Gracy Farms,3.5,173,American,under $10
 Taquerias Arandinas,3.5,174,American,under $10
 Taquerias Arandinas,3.5,174,American,under $10
 Red River Cafe,3.5,175,American,under $10
 IHOP,2,176,American,under $10
 Violet Crown Social Club,4.5,179,American,under $10
 Naus Enfield Drug,3.5,181,American,under $10
 Whataburger,2.5,188,American,under $10
 Bennu Coffee,4,189,American,under $10
 Stinsons,4,194,American,under $10
 Sorrentos Drive Thru Coffee,4.5,194,American,under $10
 Rosies Tamale House,3.5,202,American,under $10
 Skylark Lounge,4.5,204,American,under $10
 Burger Bar,3.5,204,American,under $10
 IHOP,2,207,American,under $10
 Jims Restaurants,4,214,American,under $10
 Jims Restaurants,4,217,American,under $10
 Culvers,4,217,American,under $10
 The Vegan Yacht,4.5,221,American,under $10
 Hat Creek Burgers Westlake,3.5,224,American,under $10
 Wallys Burger Express,3.5,225,American,under $10
 P Terrys Burger Stand,3.5,225,American,under $10
 Shakespeares Pub,3,226,American,under $10
 Five Guys,3,226,American,under $10
 In N Out Burger,4,231,American,under $10
 Zuzu Handmade Mexican Food,3.5,237,American,under $10
 Zuzu Handmade Mexican Food,3.5,237,American,under $10
 Knomad Bar,4,239,American,under $10
 Halcyon,3.5,243,American,under $10
 S H Donuts,4.5,244,American,under $10
 La Patisserie by Oven Fresh Delights,4,244,American,under $10
 Phils Icehouse,4,249,American,under $10
 Cow Bells,4.5,253,American,under $10
 Yummi Tacos and More,4,253,American,under $10
 Pflugerville Taco House,4.5,257,American,under $10
 Phils Icehouse,4,258,American,under $10
 Biscuits  Groovy South,4.5,259,American,under $10
 Waffle House,3,260,American,under $10
 El Primo,4.5,262,American,under $10
 The Liberty,4,270,American,under $10
 Zilker Brewing Company and Taproom,4.5,273,American,under $10
 Pecan St Station Deli and Grill,4,276,American,under $10
