Resturant,Rating,Review,Cuisine,price
 Galloways Sandwich Shop,4.5,18,American,under $10
 The Grub House,4.5,19,American,under $10
 P Terrys Burger Stand,3.5,19,American,under $10
 Burger King,2,19,American,under $10
 Buckets Deli and Sports Bar,3.5,20,American,under $10
 Jack in the Box,1.5,21,American,under $10
 Jack in the Box,2,22,American,under $10
 Burger King,2.5,23,American,under $10
 Jack in the Box,2,24,American,under $10
 Dirty Glove Midwest BBQ,4.5,24,American,under $10
 William B Travis Building Cafeteria,3,24,American,under $10
 Dairy Queen,3.5,25,American,under $10
 Short Stop,3.5,25,American,under $10
 Phils Philly Grill,3,25,American,under $10
 Monster Bite World,4.5,26,American,under $10
 Jack in the Box,2,27,American,under $10
 Messhall Cafe,4,28,American,under $10
 Wendys,2.5,28,American,under $10
 Jack in the Box,2,28,American,under $10
 The Story of Texas Cafe,3.5,29,American,under $10
 Dairy Queen,3.5,31,American,under $10
 Wendys,2,31,American,under $10
 Sonic Drive In,1.5,31,American,under $10
 Tangent Cafe,4,32,American,under $10
 Burger King,1.5,32,American,under $10
 Arbys,3,32,American,under $10
 Simons Burger,4.5,33,American,under $10
 Wendys,2.5,33,American,under $10
 Wendys,2,33,American,under $10
 The  on th,2.5,34,American,under $10
 Burger King,1.5,34,American,under $10
 Jack in the Box,2.5,34,American,under $10
 Texas Bar and Grill,3.5,36,American,under $10
 Texas Bar and Grill,3.5,36,American,under $10
 Wendys,2.5,37,American,under $10
 Capitol Grill,3.5,38,American,under $10
 Stardust Club,3.5,38,American,under $10
 Burger King,2,38,American,under $10
 Wendys,1.5,39,American,under $10
 P Terrys Burger Stand,3.5,40,American,under $10
 Sonic Drive In,3,42,American,under $10
 Lone Star Kolaches,3.5,42,American,under $10
 Clicks Billiards,3,43,American,under $10
 Burnsides Tavern,3.5,43,American,under $10
 Sonic Drive In,2,43,American,under $10
 Wendys,2,44,American,under $10
 Wendys,2,44,American,under $10
 Newks Eatery,3.5,45,American,under $10
 Jack in the Box,2,49,American,under $10
 Wink,4,795,American,$31-$60
 Fixe Austins Southern House,4,798,American,$31-$60
 Bartletts,4,823,American,$31-$60
 Fogo De Chao,4,904,American,$31-$60
 Trulucks Oceans Finest Seafood and Crab,4.5,921,American,$31-$60
 Steiner Ranch Steakhouse,3.5,937,American,$31-$60
 Fonda San Miguel,4,966,American,$31-$60
 Swifts Attic,4,1087,American,$31-$60
 Barley Swine,4.5,1134,American,$31-$60
 Justines Brasserie,4,1163,American,$31-$60
 Eddie Vs Prime Seafood,4.5,1223,American,$31-$60
 Perrys Steakhouse and Grille Downtown Austin,4,1250,American,$31-$60
 Perlas,4,1697,American,$31-$60
 Odd Duck,4.5,1900,American,$31-$60
 Los Catrachos,3,15,American,over $61
 J Carvers,4,65,American,over $61
 Simi Estiatorio,3.5,66,American,over $61
 The Driskill Grill,3.5,220,American,over $61
 Jeffreys,4,418,American,over $61
 III Forks,4,517,American,over $61
 BibiBowl,3.5,2,Asian,under $10
 Morales TexMex Food,3,12,Asian,under $10
 The Library Bar,3.5,154,Asian,under $10
 SaTen,4.5,155,Asian,under $10
 Song La,4.5,156,Asian,under $10
 Wok N Express,4,156,Asian,under $10
 ChickfilA,3.5,158,Asian,under $10
 ChickfilA,3.5,158,Asian,under $10
 ChiLantro,4,161,Asian,under $10
 Sundaze - Temp CLOSED,4.5,164,Asian,under $10
 Pei Wei Asian Kitchen,2.5,166,Asian,under $10
 Pad Thai,3.5,167,Asian,under $10
 China Dynasty,3.5,169,Asian,under $10
 Beijing Foot Spa,4,169,Asian,under $10
 Hana World Market,3.5,178,Asian,under $10
 The Soup Peddler,4,179,Asian,under $10
 The Soup Peddler,4,179,Asian,under $10
 Bodhi Viet Vegan,5,182,Asian,under $10
 Hole in the Wall,4,182,Asian,under $10
 Hay Elotes,4,183,Asian,under $10
 Julies Handmade Noodles,4,189,Asian,under $10
 Pho Dan,4,192,Asian,under $10
 Pho Dan,4,192,Asian,under $10
 Dawa Sushi,4.5,193,Asian,under $10
 Tacodeli,4,193,Asian,under $10
 Mama Fus Asian House,3,195,Asian,under $10
 Pho Hong,3.5,197,Asian,under $10
 Happy Dragon Chinese Bistro,3,203,Asian,under $10
 Happy Dragon Chinese Bistro,3,203,Asian,under $10
 TC Noodle House,3.5,208,Asian,under $10
 China Palace,3.5,216,Asian,under $10
 Four Seasons Chinese Restaurant,3.5,217,Asian,under $10
 K-Bop,4,220,Asian,under $10
 C Bakery Cafe,4,220,Asian,under $10
 Platinum Ink,4,220,Asian,under $10
 The Vegan Yacht,4.5,221,Asian,under $10
 Thai Taste,4,222,Asian,under $10
 Super Bowl,3.5,223,Asian,under $10
 Shakespeares Pub,3,226,Asian,under $10
 Pho Thai Son  UT Campus,3.5,233,Asian,under $10
 Fire Bowl Cafe,3.5,234,Asian,under $10
 The Soup Peddler Real Food and Juice Bar,4,236,Asian,under $10
 Little Thai Food,4,237,Asian,under $10
 BAMBU,4,239,Asian,under $10
 Wok on Fire,2,247,Asian,under $10
 Tapioca House,3,248,Asian,under $10
 Yummi Tacos and More,4,253,Asian,under $10
 Kung Fu Tea,4.5,253,Asian,under $10
 Kung Fu Tea,4.5,253,Asian,under $10
 Llamas Peruvian Creole,4,254,Asian,under $10
 Yaya Cafe,3.5,256,Asian,under $10
 Zen Japanese Food Fast,3.5,269,Asian,under $10
 The Liberty,4,270,Asian,under $10
 Hao Hao Restaurant,3.5,271,Asian,under $10
 Sweet Nails and Spa,4,275,Asian,under $10
 Chen Z Noodle House,4,278,Asian,under $10
 The Peached Tortilla,4,278,Asian,under $10
 Epoch Coffee,4,828,Asian,under $10
 The Jackalope,4,984,Asian,under $10
 Tarka Indian Kitchen,4,1002,Asian,under $10
 Bento Picnic,4.5,80,Asian,$11-$30
 Bento Picnic,4.5,80,Asian,$11-$30
 Bikkle Jamaican Restaurant,4.5,81,Asian,$11-$30
 Baod Up UT West Campus,4,83,Asian,$11-$30
 Baod Up  UT West Campus,4,83,Asian,$11-$30
 Zaos Chinese Kitchen,4.5,87,Asian,$11-$30
 Zaos Chinese Kitchen,4.5,87,Asian,$11-$30
 Eurasia Ramen ,4.5,88,Asian,$11-$30
 Domo Alley Gato,4,89,Asian,$11-$30
 Han Yang Market,4,89,Asian,$11-$30
 Hunan Bistro,3.5,89,Asian,$11-$30
 Left Wing,4,89,Asian,$11-$30
 Osio,4,91,Asian,$11-$30
 House of Three Gorges,4.5,104,Asian,$11-$30
 Charm BBQ Chicken,4,109,Asian,$11-$30
 REVUE,4,109,Asian,$11-$30
 CoCos Cafe,4,543,Asian,$11-$30
 CoCos Cafe,4,543,Asian,$11-$30
 RA Sushi Bar Restaurant,3,544,Asian,$11-$30
 Sushi Junai,3.5,545,Asian,$11-$30
 Thai Kun,4,548,Asian,$11-$30
 Ramen TatsuYa,4,563,Asian,$11-$30
 Madam Mams  UT West Campus,3,579,Asian,$11-$30
 Xian Sushi and Noodle,4,612,Asian,$11-$30
 Doc Bs Restaurant  Bar,4.5,630,Asian,$11-$30
 Barlata Tapas Bar,4,672,Asian,$11-$30
 Forthright,4,675,Asian,$11-$30
 Sushi Nini,4,676,Asian,$11-$30
 Rice Bowl Cafe,4,692,Asian,$11-$30
 Madam Mams North Anderson LN,3.5,692,Asian,$11-$30
 Mai Thai Restaurant,4,708,Asian,$11-$30
 Arturos Underground Cafe,4.5,729,Asian,$11-$30
 BarChi Sushi,3.5,746,Asian,$11-$30
 BarChi Sushi,3.5,746,Asian,$11-$30
 Picnik,4,758,Asian,$11-$30
 Fredas Seafood Grille,4,761,Asian,$11-$30
 Kemuri Tatsuya,4,774,Asian,$11-$30
 Tuk Tuk Thai Cafe,4,777,Asian,$11-$30
