Rating,Review,Cuisine,price
4.5,19,American,under $10
3.5,19,American,under $10
2,19,American,under $10
3.5,20,American,under $10
1.5,21,American,under $10
2,22,American,under $10
2.5,23,American,under $10
2,24,American,under $10
4.5,24,American,under $10
3,24,American,under $10
3.5,25,American,under $10
3.5,36,American,under $10
2.5,37,American,under $10
3.5,38,American,under $10
3.5,38,American,under $10
2,38,American,under $10
1.5,39,American,under $10
3.5,40,American,under $10
3,42,American,under $10
3.5,42,American,under $10
3,43,American,under $10
3.5,43,American,under $10
2,43,American,under $10
2,44,American,under $10
2,44,American,under $10
3.5,45,American,under $10
2,49,American,under $10
4,795,American,$31-$60
4,798,American,$31-$60
4,823,American,$31-$60
4,904,American,$31-$60
4.5,921,American,$31-$60
3.5,937,American,$31-$60
4,966,American,$31-$60
4,1087,American,$31-$60
4.5,1134,American,$31-$60
4,1163,American,$31-$60
4.5,1223,American,$31-$60
4,1250,American,$31-$60
4,1697,American,$31-$60
4.5,1900,American,$31-$60
3,15,American,over $61
4,65,American,over $61
3.5,66,American,over $61
3.5,220,American,over $61
4,418,American,over $61
4,517,American,over $61
3.5,2,Asian,under $10
3,12,Asian,under $10
3.5,154,Asian,under $10
4.5,155,Asian,under $10
4.5,156,Asian,under $10
3.5,233,Asian,under $10
3.5,234,Asian,under $10
4,236,Asian,under $10
4,237,Asian,under $10
4,239,Asian,under $10
2,247,Asian,under $10
3,248,Asian,under $10
4,253,Asian,under $10
4.5,253,Asian,under $10
4.5,253,Asian,under $10
4,254,Asian,under $10
3.5,256,Asian,under $10
3.5,269,Asian,under $10
4,270,Asian,under $10
3.5,271,Asian,under $10
4,275,Asian,under $10
4,278,Asian,under $10
4,278,Asian,under $10
4,828,Asian,under $10
4,984,Asian,under $10
4,1002,Asian,under $10
4.5,80,Asian,$11-$30
4.5,80,Asian,$11-$30
4.5,81,Asian,$11-$30
4,83,Asian,$11-$30
4,83,Asian,$11-$30
4.5,87,Asian,$11-$30
4.5,87,Asian,$11-$30
4.5,88,Asian,$11-$30
4,89,Asian,$11-$30
4,89,Asian,$11-$30
3.5,89,Asian,$11-$30
4.5,729,Asian,$11-$30
3.5,746,Asian,$11-$30
3.5,746,Asian,$11-$30
4,758,Asian,$11-$30
4,761,Asian,$11-$30
4,774,Asian,$11-$30
4,777,Asian,$11-$30
4,778,Asian,$11-$30
4,780,Asian,$11-$30
4.5,781,Asian,$11-$30
3.5,782,Asian,$11-$30
4.5,1783,Asian,$11-$30
3.5,1803,Asian,$11-$30
4,1821,Asian,$11-$30
4,1844,Asian,$11-$30
4,1862,Asian,$11-$30
4,2701,Asian,$11-$30
4.5,2718,Asian,$11-$30
4.5,2718,Asian,$11-$30
4.5,381,Asian,$31-$60
4,401,Asian,$31-$60
4,426,Asian,$31-$60
4,426,Asian,$31-$60
4,431,Asian,$31-$60
4,431,Asian,$31-$60
4.5,616,Asian,$31-$60
4,665,Asian,$31-$60
